,souseki_AI.txt,rashomon.txt,sorekara.txt,ginga_tetsudono_yoru.txt,kokoro.txt,kumono_ito.txt,serohikino_goshu.txt
知ろう,0,0,0,0,3,0,0
短い,0,2,1,0,2,0,0
短か,0,0,1,0,0,0,0
短かい,0,0,3,0,0,0,0
短かく,0,0,2,0,0,0,0
短く,0,0,0,0,0,1,0
砕け,0,0,0,0,0,0,1
破っ,0,0,1,0,2,0,0
破る,0,0,1,0,1,0,0
硬,0,0,2,0,0,0,0
硬い,0,0,1,0,2,0,0
硬く,0,0,1,0,1,0,0
碌な,0,0,1,0,2,0,0
碌に,0,0,0,0,1,0,0
確か,0,0,1,0,3,0,0
確かめ,0,0,2,0,2,0,0
確と,0,0,1,0,0,0,0
確め,0,0,8,0,0,0,0
確める,0,0,1,0,0,0,0
確り,0,0,3,0,0,0,0
磨い,0,0,1,0,0,0,0
示し,0,0,2,1,4,0,0
示す,0,0,0,0,2,0,0
祈っ,0,0,0,2,0,0,0
祈り,0,0,0,2,2,0,0
祈る,0,0,1,1,0,0,0
祝,0,0,0,0,1,0,0
祝う,0,0,0,0,1,0,0
神々しい,0,0,0,1,0,0,0
祟っ,0,0,1,0,2,0,0
祟ら,0,0,0,0,2,0,0
禁じ,0,0,1,0,0,0,0
禿げ上っ,0,0,0,0,1,0,0
称え,0,0,1,0,0,0,0
称し,0,0,1,0,0,0,0
移さ,0,0,1,0,0,0,0
移し,0,0,10,0,2,0,0
移っ,0,0,5,0,7,0,0
移ら,0,0,0,0,1,0,0
移り,0,0,1,0,1,0,0
移る,0,0,3,0,3,0,0
程近く,0,0,1,0,0,0,0
稍,0,0,9,0,0,0,0
稼い,0,0,2,1,0,0,0
積み上げ,0,0,0,0,1,0,0
積み込む,0,0,1,0,0,0,0
積み込ん,0,0,2,0,0,0,0
積み重ね,0,0,0,0,1,0,0
積ん,0,0,1,0,0,0,0
穫れ,0,0,0,1,0,0,0
空,0,0,2,0,0,0,0
空い,0,0,1,1,1,0,0
空け,0,0,3,0,5,0,0
空ける,0,0,0,0,1,0,0
空しい,0,0,1,0,0,0,0
空しく,0,0,1,0,0,0,0
空とぼけ,0,0,2,0,0,0,0
穿い,0,0,7,0,2,0,0
穿く,0,0,2,0,1,0,0
突い,0,0,9,0,4,0,0
突き,0,0,0,0,1,0,0
突き付け,0,0,1,0,1,0,0
突き付ける,0,0,0,0,1,0,0
突き出し,0,0,1,0,0,0,0
突き刺す,0,0,0,0,1,0,0
突き当っ,0,0,1,0,1,0,0
突き抜け,0,0,1,0,0,0,0
突き留め,0,0,1,0,1,0,0
突き留める,0,0,1,0,1,0,0
突き破っ,0,0,0,0,1,0,0
突き破る,0,0,0,0,2,0,0
突き立,0,0,0,0,1,0,0
突き落し,0,0,0,0,1,0,0
突き落す,0,0,0,0,1,0,0
突き進ん,0,0,0,0,1,0,0
突っかけ,0,0,0,0,1,0,0
突っつい,0,0,1,0,0,0,0
突っつき,0,0,1,0,0,0,0
突っ込ん,0,0,1,0,0,0,0
突然,0,0,26,1,47,0,0
突立っ,0,0,2,0,0,0,0
窘め,0,0,2,0,0,0,0
窘める,0,0,1,0,1,0,0
窮し,0,0,2,0,1,0,0
窮する,0,0,1,0,0,0,0
窺う,0,0,2,0,0,0,0
窺っ,0,1,4,0,0,0,0
立,0,0,1,0,0,0,0
立た,0,0,5,0,8,0,0
立ち,0,0,10,3,7,0,0
立ちあがり,0,0,0,4,0,0,0
立ちどまっ,0,0,0,2,0,0,0
立ち上がっ,0,0,16,0,2,0,0
立ち上がる,0,0,0,0,1,0,0
立ち上がろう,0,0,0,0,2,0,0
立ち上っ,0,0,0,1,1,0,0
立ち上り,0,0,0,0,2,0,0
立ち上る,0,0,0,0,1,0,0
立ち入っ,0,0,1,0,3,0,0
立ち回ら,0,0,1,0,0,0,0
立ち寄り,1,0,0,0,0,0,0
立ち寄る,1,0,0,0,0,0,0
立ち帰っ,0,0,0,0,2,0,0
立ち掛け,0,0,2,0,0,0,0
立ち掛ける,0,0,0,0,1,0,0
立ち留っ,0,0,1,0,0,0,0
立ち留まっ,0,0,3,0,5,0,0
立ち留まら,0,0,1,0,0,0,0
立ち留まり,0,0,0,0,1,0,0
立ち留まる,0,0,1,0,0,0,0
立ち直っ,0,0,0,1,1,0,0
立ち竦み,0,0,0,0,2,0,0
立ち竦ん,0,0,1,0,1,0,0
立ち行か,0,0,1,0,0,0,0
立ち返る,0,0,0,0,1,0,0
立ち退か,0,0,1,0,0,0,0
立っ,2,0,71,42,50,1,3
立つ,0,0,10,0,22,0,0
立て,0,1,17,1,12,1,1
立てよう,0,0,1,0,0,0,0
立てる,0,0,2,0,1,0,0
立て掛け,0,0,1,0,1,0,0
立て替え,0,0,0,0,1,0,0
立て籠っ,0,0,1,0,1,0,0
立とう,0,0,1,0,4,0,0
立る,0,0,1,0,0,0,0
立上っ,0,1,0,0,0,0,0
立向っ,0,0,1,0,0,0,0
立退い,0,0,1,0,0,0,0
竦む,0,0,1,0,0,0,0
竦ん,0,0,2,0,1,0,0
端折っ,0,0,1,0,0,0,0
笑い,1,0,19,0,25,1,1
笑い合い,1,0,0,0,0,0,0
笑い合っ,1,0,0,0,0,0,0
笑う,0,0,4,0,4,0,0
笑っ,1,0,39,2,22,0,2
笑わ,0,0,4,0,2,0,0
等しい,0,0,1,0,0,0,0
答,0,0,0,13,0,0,0
答え,2,0,86,0,78,0,1
答えよう,0,0,0,0,2,0,0
答える,0,0,5,0,13,0,0
築い,0,0,1,0,0,0,0
篏め,0,0,0,0,1,0,0
簇がる,0,0,2,0,0,0,0
籠っ,0,0,0,0,3,0,0
籠め,0,0,1,0,0,0,0
籠る,0,0,1,0,0,0,0
精しく,0,0,0,0,1,0,0
精出し,0,0,0,0,1,0,0
約し,0,0,0,0,1,0,0
納め,0,0,3,0,1,0,0
納める,0,0,1,0,0,0,0
紛らさ,0,0,0,0,1,0,0
紛らし,0,0,1,0,0,0,0
素気ない,0,0,0,0,2,0,0
素知らぬ,0,0,1,0,0,0,0
紡ぐ,1,0,0,0,0,0,0
細,0,0,0,0,1,0,0
細い,0,1,6,2,7,1,0
細かい,0,0,3,0,3,0,0
細く,0,0,4,1,0,3,0
細め,1,0,0,0,0,0,0
細長い,0,0,1,1,1,0,0
細長く,0,0,1,0,1,0,0
終える,0,0,0,0,1,0,0
終っ,0,0,5,0,3,0,0
終に,0,0,1,0,0,0,0
終ら,0,0,0,0,1,0,0
終る,0,0,4,0,1,0,1
組ま,0,0,0,1,0,0,0
組み,0,0,0,1,0,0,0
組み合せ,0,0,1,2,0,0,0
組み合せる,0,0,0,1,0,0,0
組み立て,0,0,1,0,0,0,0
組み重ね,0,0,1,0,0,0,0
組ん,0,0,1,2,0,0,1
経,0,0,1,0,6,0,0
経ち,0,0,0,0,1,0,0
経っ,0,0,5,0,14,0,0
経つ,0,0,1,0,3,0,0
経る,0,0,0,0,1,0,0
結,0,0,6,0,0,0,0
結い,0,0,1,0,0,0,0
結ば,0,0,1,0,1,0,0
結び付け,0,0,0,0,4,0,0
結び付けよう,0,0,1,0,0,0,0
結び付ける,0,0,0,0,1,0,0
結べ,0,0,1,0,0,0,0
結わ,0,0,1,0,0,0,0
結ん,0,0,2,1,4,0,1
結構,0,0,1,0,3,0,0
絡げ,0,0,0,0,1,0,0
絡まっ,0,0,1,0,0,0,0
絡みつけ,0,0,1,0,0,0,0
給え,0,0,14,0,0,0,1
給し,0,0,1,0,0,0,0
絶え,0,0,5,0,7,0,0
絶える,0,0,1,0,1,0,0
絶つ,0,0,1,0,0,0,0
継い,0,0,2,0,0,0,0
継ぎ,0,0,0,0,1,0,0
継ぎ合せ,0,0,1,0,0,0,0
継ぎ合わせ,0,0,1,0,0,0,0
継ぎ足し,0,0,1,0,1,0,0
継げ,0,0,0,0,1,0,0
続い,0,0,3,2,7,0,0
続か,0,0,3,0,0,0,0
続き,0,0,0,0,3,0,0
続く,0,0,2,0,2,0,0
続け,1,0,2,1,1,0,1
続ける,0,0,2,0,1,0,0
綴っ,0,0,1,1,0,0,0
綴ら,0,0,0,0,1,0,0
綴る,0,0,1,0,0,0,0
綻び,0,0,1,0,0,0,0
締っ,0,0,1,0,0,0,0
締め,0,0,4,0,2,0,0
締める,0,0,1,0,0,0,0
締め付け,0,0,0,0,1,0,0
締め切っ,0,0,3,0,0,0,0
締め直し,0,0,0,0,1,0,0
緩く,0,0,5,0,1,0,0
緩め,0,0,1,0,1,0,0
緩り,0,0,6,0,0,0,0
練り上げ,0,0,0,0,1,0,0
縁づい,0,0,0,0,1,0,0
縋りつい,0,0,0,0,0,1,0
縋り付こう,0,0,0,0,1,0,0
縛ら,0,0,1,0,1,0,0
縫う,0,0,2,0,1,0,0
縫っ,0,0,0,0,1,0,0
縮まっ,0,0,0,1,0,0,0
縮め,0,0,3,0,0,0,0
縮れ,0,0,0,1,0,0,0
縺れ,0,0,0,0,1,0,0
繁く,0,0,1,0,2,0,0
繋がら,0,0,1,0,0,0,0
繋がり,0,0,1,0,0,0,0
繋ぎ合わし,0,0,1,0,0,0,0
繋ぐ,0,0,1,0,1,0,0
織っ,0,0,0,0,1,0,0
織り出さ,0,0,0,0,1,0,0
織り込ま,0,0,0,0,1,0,0
繙き,0,0,0,0,1,0,0
繞っ,0,0,0,1,0,0,0
繰っ,0,0,2,0,0,0,0
繰り,0,0,2,0,0,0,0
繰り合せ,0,0,1,0,1,0,0
繰り延べ,0,0,0,0,1,0,0
繰り返さ,0,0,2,0,3,0,0
繰り返し,0,0,13,0,20,0,0
繰り返す,0,0,2,0,7,0,0
繰り返せ,0,0,0,0,1,0,0
繰返し,0,0,1,0,0,0,0
繰返す,0,0,1,0,0,0,0
纏まっ,0,0,0,0,3,0,0
纏まろう,0,0,0,0,1,0,0
纏め,0,0,4,0,1,0,0
纏める,0,0,0,0,1,0,0
纏め上げ,0,0,0,0,2,0,0
置,0,0,7,1,3,0,0
置い,0,0,71,6,25,0,2
置か,1,0,6,0,7,0,0
置き,0,0,9,1,3,0,1
置く,0,0,30,1,8,0,1
置け,0,0,10,0,2,0,0
置こう,0,0,2,0,1,0,0
罵っ,0,1,0,0,1,0,0
罹っ,0,0,5,0,6,0,0
罹り,0,0,0,0,1,0,0
罹る,0,0,1,0,0,0,0
美し,0,0,0,0,1,0,0
美しい,1,0,2,6,12,1,0
美しかっ,0,0,1,0,0,0,0
美しく,0,0,1,0,2,0,0
群がっ,0,0,1,0,0,0,0
羨まし,0,0,0,0,3,0,0
羨ましい,0,0,2,0,1,0,0
羨ましく,0,0,2,0,0,0,0
羽搏き,0,0,0,0,1,0,0
習い覚え,0,0,0,0,1,0,0
習え,0,0,0,0,0,0,2
習っ,0,0,1,1,1,0,0
翳し,0,0,2,0,1,0,0
翳そう,0,0,0,0,1,0,0
翻す,0,0,0,0,2,0,0
老い込ん,0,0,0,0,2,0,0
考え,5,1,110,0,107,0,6
考えつい,0,0,0,0,0,0,1
考える,3,1,21,0,19,0,1
考えれ,0,0,1,0,3,0,0
考え付い,0,0,1,0,0,0,0
考え出し,0,0,2,0,4,0,0
考え出す,0,0,1,0,0,0,0
考え出せ,0,0,0,0,1,0,0
考え出そう,0,0,1,0,1,0,0
考え直さ,0,0,1,0,0,0,0
考え直し,0,0,1,0,3,0,0
考え詰め,0,0,1,0,0,0,0
考え込む,1,0,0,0,0,0,0
考え込ん,2,0,3,0,3,0,0
考へ,0,0,0,14,0,0,0
考へる,0,0,0,3,0,0,0
耻じ,0,0,3,0,0,0,0
耽っ,0,0,2,0,2,0,0
耽る,0,0,1,0,0,0,0
聊か,0,0,0,0,1,0,0
聞い,0,5,147,2,110,0,4
聞え,0,0,11,10,0,0,1
聞える,0,0,3,1,0,1,1
聞か,0,0,20,1,35,0,0
聞かさ,0,0,4,0,7,0,0
聞かし,0,0,1,0,2,0,0
聞き,0,0,12,2,43,0,0
聞きつけ,0,0,0,0,0,0,1
聞き付け,0,0,2,0,0,0,0
聞き出し,0,0,1,0,0,0,0
聞き出す,0,0,1,0,0,0,0
聞き合せ,0,0,3,0,1,0,0
聞き流し,0,0,1,0,0,0,0
聞き直し,0,0,3,0,0,0,0
聞き糺し,0,0,1,0,1,0,0
聞き糺す,0,0,1,0,0,0,0
聞き落し,0,0,1,0,0,0,0
聞き返さ,0,0,1,0,2,0,0
聞き返し,0,0,9,0,7,0,0
聞く,0,1,31,0,25,0,0
聞け,0,0,0,0,1,0,0
聞ける,0,0,0,0,1,0,0
聞こう,0,0,4,0,3,0,0
聞こえ,0,0,1,0,24,0,0
聞こえる,0,0,1,0,7,0,0
聞こえれ,0,0,1,0,0,0,0
聳え,0,0,0,0,1,0,0
聳える,0,0,1,0,0,0,0
聴い,0,0,7,2,0,0,0
聴え,0,0,2,0,0,0,0
聴き,0,0,1,0,0,0,0
聴き取れ,0,0,1,0,0,0,0
肯う,0,0,3,0,0,0,0
肯っ,0,0,2,0,0,0,0
肯わ,0,0,2,0,0,0,0
育っ,0,0,0,0,3,0,0
育て,0,0,0,0,5,0,0
育て上げ,0,0,0,0,1,0,0
背い,0,0,0,0,1,0,0
背く,0,0,2,0,0,0,0
背負っ,0,0,0,0,2,0,0
背負わさ,0,0,0,0,2,0,0
胡魔化さ,0,0,1,0,2,0,0
胡魔化し,0,0,1,0,1,0,0
胡魔化す,0,0,1,0,0,0,0
胡麻化し,0,0,1,0,0,0,0
能い,0,0,1,0,0,0,0
能く,0,0,30,0,4,0,0
脅かさ,0,0,0,0,1,0,0
脆い,0,0,0,0,1,0,0
脆く,0,0,0,0,1,0,0
脱,0,0,1,0,2,0,0
脱い,0,0,10,0,2,0,0
脱が,0,0,2,0,1,0,0
脱ぎ,0,0,1,0,0,0,0
脱ぎ棄て,0,0,2,0,2,0,0
脱ぎ棄てる,0,0,0,0,1,0,0
脱ぐ,0,0,1,0,0,0,0
腐っ,0,0,1,0,0,0,0
腐る,0,0,0,0,1,0,0
腐れ,0,0,0,0,1,0,0
腑甲斐なく,0,0,1,0,0,0,0
腥,0,0,1,0,0,0,0
腥い,0,0,0,0,1,0,0
腰掛け,0,0,0,1,0,0,0
膨らん,0,0,0,0,0,0,1
臥,0,0,1,0,0,0,0
臥る,0,0,1,0,0,0,0
臨ま,0,0,0,0,1,0,0
臨ん,0,0,3,0,1,0,0
自烈た,0,0,0,0,1,0,0
自然,0,0,0,0,2,0,0
臭い,0,0,0,0,2,0,0
臭く,0,0,1,0,1,0,0
至っ,0,0,17,0,1,0,0
至ら,0,0,2,0,0,0,0
至る,0,0,4,1,1,0,0
至極,0,0,4,0,4,0,0
致し,0,0,1,0,1,4,0
舞わさ,0,0,1,0,0,0,0
良く,0,0,1,0,0,0,0
色々,0,0,21,0,22,0,0
艶めかしい,0,0,0,0,2,0,0
苛い,0,0,4,0,0,0,0
若,0,0,1,0,2,0,0
若々しい,0,0,0,0,2,0,0
若い,0,0,17,0,32,0,0
若かっ,0,0,1,0,1,0,0
若く,0,0,3,0,0,0,0
若けりゃ,0,0,1,0,0,0,0
若し,0,0,3,0,0,0,0
苦々しい,0,0,0,0,2,0,0
苦々しかっ,0,0,0,0,1,0,0
苦い,0,0,5,0,1,0,0
苦し,0,0,5,0,4,0,0
苦しい,0,0,6,1,9,0,0
苦しかっ,0,0,2,0,0,0,0
苦しく,0,0,3,0,5,0,0
苦しみ,0,0,2,0,1,0,0
苦しむ,0,0,1,0,0,0,0
苦しめ,0,0,3,0,2,0,0
苦しめる,0,0,0,0,1,0,0
苦しん,0,0,2,0,10,0,0
苦り,0,0,1,0,0,0,0
苦ん,0,0,1,0,0,0,0
茂,0,0,0,1,2,0,0
茂る,0,0,1,0,1,0,0
茶いろ,0,0,0,1,0,0,0
茶化し,0,0,2,0,0,0,0
茶化す,0,0,1,0,0,0,0
草臥れ,0,0,1,0,1,0,0
草臥れる,0,0,1,0,1,0,0
荒い,0,0,1,0,0,0,0
荒く,0,0,1,0,0,0,0
荒れ,0,1,1,0,0,0,1
萌さ,0,0,0,0,1,0,0
萌し,0,0,1,0,2,0,0
萎れ,0,0,0,0,1,0,0
落さ,0,0,0,1,0,0,0
落し,0,0,5,1,0,0,0
落す,0,0,2,0,2,0,0
落ち,0,0,15,6,13,5,6
落ちかかっ,0,0,0,0,1,0,0
落ちかかる,0,0,1,0,0,0,0
落ちこみ,0,0,0,1,0,0,0
落ちつい,0,0,0,0,0,0,1
落ちつく,0,0,0,0,1,0,0
落ちる,0,0,4,1,2,0,1
落ち付い,0,0,18,0,18,0,0
落ち付か,0,0,6,0,3,0,0
落ち付き,0,0,4,0,2,0,0
落ち付く,0,0,1,0,3,0,0
落ち付ける,0,0,0,0,2,0,0
落ち合っ,0,0,1,0,3,0,0
落ち着い,0,0,2,1,0,0,0
落っこっ,0,0,0,1,0,0,0
著しく,0,0,0,0,1,0,0
著る,0,0,2,0,0,0,0
葬,0,0,0,0,2,0,0
葬ら,0,0,1,0,2,0,0
葺い,0,0,0,0,1,0,0
蒐め,0,0,0,0,1,0,0
蒔き,0,0,1,0,0,0,0
蒙っ,0,0,1,0,0,0,0
蒙る,0,0,2,0,0,0,0
蒸さ,0,0,1,0,0,0,0
蒸し暑い,0,0,1,0,0,0,0
蒼い,0,0,6,0,4,0,0
蒼かっ,0,0,2,0,1,0,0
蒼く,0,0,1,0,0,0,0
蒼白い,0,0,3,0,0,0,0
蒼白かっ,0,0,1,0,0,0,0
蒼白く,0,0,4,0,0,0,0
蒼黒い,0,0,1,0,0,0,0
蓄え,0,0,2,0,1,0,0
蓄わえ,0,0,1,0,0,0,0
蔑む,0,0,1,0,0,0,0
蔽い被せ,0,0,0,0,1,0,0
蔽う,0,0,1,0,0,0,0
蔽っ,0,0,1,0,0,1,0
蔽わ,0,0,1,0,0,0,0
薄,0,0,2,0,2,0,0
薄い,0,0,6,1,2,0,0
薄かっ,0,0,1,0,0,0,0
薄く,0,0,2,0,2,0,0
薄らい,0,0,1,0,1,0,0
薄れ,1,0,0,0,0,0,0
薄明るい,0,0,1,0,0,0,0
薄暗い,0,0,1,0,4,0,0
薄暗かっ,0,0,0,0,1,0,0
薄暗く,0,0,1,0,2,0,0
薄白く,0,0,1,0,0,0,0
薄赤い,0,0,0,0,3,0,0
薄赤く,0,0,2,0,1,0,0
薄青い,0,0,2,0,0,0,0
薄黒い,0,0,0,0,1,0,0
薩張り,0,0,0,0,1,0,0
薫り,0,0,0,1,0,0,0
藻掻き,0,0,0,0,1,0,0
虐げ,0,0,0,0,1,0,0
融け,0,0,0,0,1,0,0
融ける,0,0,0,1,0,0,0
螫さ,0,0,0,1,0,0,0
螫す,0,0,1,0,0,0,0
蟠っ,0,0,0,0,1,0,0
蠢い,0,0,0,0,0,1,0
血ばしっ,0,0,1,0,0,0,0
血走っ,0,0,0,0,0,0,1
行か,0,0,35,7,21,0,1
行かす,0,1,0,0,0,0,0
行き,0,0,13,25,24,0,3
行きかけ,0,0,1,0,0,0,0
行きはぐれ,0,0,1,0,0,0,0
行き合い,0,0,0,0,1,0,0
行き合っ,0,0,0,0,1,0,0
行き詰まっ,0,0,0,0,1,0,0
行き詰まれ,0,0,0,0,1,0,0
行き詰り,0,0,0,0,1,0,0
行く,0,2,65,32,61,2,5
行け,0,0,7,0,1,2,1
行ける,0,0,1,4,5,0,0
行こう,0,1,10,0,9,0,0
行っ,0,3,150,37,102,0,10
行わ,0,0,2,0,1,0,0
衒っ,0,0,2,0,0,0,0
衝い,0,0,1,0,0,0,0
表さ,0,0,1,0,0,0,0
表し,0,0,6,0,0,0,0
表する,0,0,1,0,0,0,0
表わす,0,0,0,0,1,0,0
表立た,0,0,1,0,1,0,0
衰え,0,0,1,0,2,0,0
衰える,0,0,1,0,0,0,0
被さっ,0,0,1,0,0,0,0
被さる,0,0,1,0,0,0,0
被せ,0,0,0,0,1,0,0
被っ,0,0,7,1,7,0,0
被り,0,0,1,0,0,0,0
被わ,0,0,0,0,1,0,0
裁っ,0,0,1,0,0,0,0
裂き破っ,0,0,0,0,1,0,0
裂ける,0,0,1,0,0,0,0
装お,0,0,0,0,1,0,0
装っ,0,0,2,0,0,0,0
裏切り,0,0,1,0,0,0,0
裏切る,0,0,0,0,1,0,0
褒め,1,0,1,0,3,0,0
褒める,0,0,0,0,1,0,0
襲っ,0,0,1,0,3,0,0
襲わ,0,0,13,0,1,0,0
要する,0,0,10,0,7,0,0
要ら,0,0,4,0,4,0,0
要り,0,0,1,0,0,0,0
要る,0,0,6,1,3,0,0
見,3,4,159,87,157,4,11
見あげ,0,0,0,3,0,0,0
見え,1,3,93,41,80,1,2
見える,0,2,22,18,17,1,0
見おろし,0,0,0,2,0,0,1
見きはめ,0,0,0,1,0,0,0
見せ,1,0,22,0,34,0,0
見せよう,0,0,0,0,1,0,0
見せる,0,0,3,0,8,0,0
見せれ,0,0,1,0,0,0,0
見つけ,1,0,0,0,0,0,0
見つける,1,0,0,0,0,0,0
見つめ,3,0,0,1,0,0,1
見まはし,0,0,0,1,0,0,0
見まはす,0,0,0,1,0,0,0
見まわし,0,1,0,0,0,0,1
見やう,0,0,0,2,0,0,0
見よう,0,0,3,0,2,0,0
見る,0,6,58,17,59,4,3
見る見る,0,0,1,0,0,1,0
見れ,0,0,10,1,7,0,0
見ろ,0,0,1,0,0,0,2
見わけ,0,0,0,1,0,0,0
見わたし,0,0,0,1,0,0,0
見上げ,0,0,3,2,1,0,0
見上げる,0,1,0,0,1,0,0
見下げ,0,0,0,0,1,0,0
見下し,0,1,1,0,0,1,0
見下す,0,0,1,0,1,0,0
見付,0,0,1,0,2,0,0
見付かる,0,0,0,0,1,0,0
見付け,0,0,3,0,4,0,0
見傚し,0,0,6,0,1,0,0
見入り,0,0,0,1,0,0,0
見出,0,0,1,0,0,0,0
見出し,0,0,6,0,3,0,0
見出せ,0,0,1,0,0,0,0
見分け,0,0,0,1,0,0,0
見受け,0,0,1,0,2,0,0
見合,0,0,1,0,0,0,0
見合せ,0,0,3,1,2,0,0
見合せる,0,0,2,0,0,0,0
見合わせる,0,0,1,0,0,0,0
見回し,0,0,2,0,0,0,0
見失い,0,0,1,0,0,0,0
見守っ,0,1,1,0,2,0,0
見届ける,0,0,1,0,0,0,0
見廻し,0,0,2,0,7,0,0
見廻す,0,0,1,0,0,0,0
見当ら,0,0,1,0,1,0,0
見惚れ,0,0,0,0,1,0,0
見抜い,0,0,3,0,3,0,0
見極めよう,0,0,0,0,1,0,0
見渡し,0,0,3,0,2,0,0
見渡す,0,0,0,0,2,0,0
見積る,0,0,1,0,1,0,0
見立て,0,0,1,0,1,0,0
見縊っ,0,0,0,0,1,0,0
見縊る,0,0,0,0,1,0,0
見苦し,0,0,1,0,0,0,0
見苦しい,0,0,1,0,1,0,0
見苦しく,0,0,3,0,0,0,0
見計っ,0,0,1,0,0,0,0
見計らっ,0,0,0,0,2,0,0
見詰め,0,0,12,0,6,0,0
見詰める,0,0,0,0,1,0,0
見越し,0,0,0,0,1,0,0
見較べ,0,0,1,1,0,0,0
見較べる,0,0,1,0,0,0,0
見込ん,0,0,0,0,1,0,0
見送っ,0,0,6,0,0,0,0
見逃し,0,0,0,0,1,0,0
見開い,0,2,0,0,0,0,0
覗い,0,1,2,0,1,0,0
覗き,0,0,3,0,1,1,0
覗きこむ,0,1,0,0,0,0,0
覗きこん,0,1,0,0,0,0,0
覗き込み,0,0,0,0,1,0,0
覗き込む,0,0,1,0,0,0,0
覗き込ん,0,0,3,0,2,0,0
覗く,0,0,1,0,0,0,0
覚え,0,0,18,0,10,0,0
覚っ,0,0,0,0,2,0,0
覚まし,0,0,1,0,3,0,0
覚め,0,0,7,0,3,0,0
覚める,0,0,1,0,1,0,0
覚る,0,0,0,0,1,0,0
覚束ない,0,0,2,0,1,0,0
覚束なかっ,0,0,1,0,1,0,0
覚束なく,0,0,0,0,1,0,0
親しかっ,0,0,1,0,1,0,0
親しく,0,0,3,0,6,0,0
親しむ,0,0,1,0,0,0,0
親しめ,0,0,1,0,0,0,0
親しん,0,0,1,0,0,0,0
観,0,0,3,0,0,0,0
観じ,0,0,0,0,2,0,0
角張っ,0,0,0,0,1,0,0
解い,0,0,5,0,2,0,0
解か,0,0,1,0,1,0,0
解き,0,0,0,2,0,0,0
解きほどい,0,0,0,0,1,0,0
解け,0,0,1,0,0,0,0
解こう,0,0,0,0,2,0,0
解し,0,0,1,0,3,0,0
解する,0,0,1,0,0,0,0
解っ,0,0,8,0,19,0,0
解ら,0,0,8,0,29,0,0
解り,0,0,1,0,14,0,0
解る,0,0,1,0,9,0,0
解れ,0,0,1,0,0,0,0
触っ,0,0,1,0,3,0,0
触ら,0,0,1,0,1,0,0
触れ,1,0,8,0,5,0,0
触れよう,0,0,0,0,1,0,0
触れる,1,0,2,0,0,0,0
言い,0,0,3,0,1,0,0
言う,0,0,1,0,0,0,0
言っ,4,0,1,0,0,0,0
計,0,0,2,0,0,0,0
計り知れ,2,0,0,0,0,0,0
計る,0,0,0,0,1,0,0
訊か,0,0,0,2,0,0,0
訊き,0,0,0,2,0,0,0
訊ね,0,0,0,0,1,0,0
託し,0,0,1,0,0,0,0
記す,0,0,1,0,0,0,0
訪ね,0,0,11,0,3,0,0
訪ねる,0,0,2,0,1,0,0
許さ,0,0,3,0,2,0,0
許し,0,0,1,0,4,0,1
許す,0,1,0,0,3,0,0
訳さ,0,0,1,0,0,0,0
訳し,0,0,2,0,0,0,0
訴,0,0,1,0,0,0,0
訴え,0,0,3,0,2,0,0
訴える,0,0,2,0,3,0,0
診,0,0,0,0,1,0,0
評さ,0,0,1,0,0,0,0
評し,0,0,6,0,4,0,0
評する,0,0,0,0,1,0,0
評すれ,0,0,0,0,1,0,0
試,0,0,1,0,0,0,0
試し,0,0,1,0,0,0,0
試み,0,0,2,0,5,0,0
試みる,0,0,1,0,2,0,0
詫っ,0,0,1,0,0,0,0
詫び,0,0,0,0,3,0,0
詫ら,0,0,1,0,0,0,0
詫り,0,0,1,0,0,0,0
詫る,0,0,2,0,0,0,0
詰っ,0,0,2,0,1,0,0
詰め,0,0,2,0,2,0,0
詰め込ん,0,0,2,0,0,0,0
詰ら,0,0,0,0,4,0,0
詰り,0,0,0,0,1,0,0
詰る,0,0,0,0,2,0,0
話さ,0,0,8,0,4,0,0
話し,1,1,53,1,44,0,0
話しかけ,0,0,3,1,3,0,0
話しかける,0,0,1,0,0,0,0
話し合う,0,0,0,0,1,0,0
話し合える,0,0,0,0,1,0,0
話し合っ,0,0,0,0,2,0,0
話し掛け,0,0,1,0,2,0,0
話し込む,0,0,0,0,1,0,0
話す,1,0,14,0,11,0,0
話せ,0,0,2,0,1,0,0
話そう,0,0,1,0,2,0,0
詳しい,0,0,2,0,3,0,0
詳しく,0,0,4,0,4,0,0
誂え,0,0,1,0,0,0,0
誇っ,0,0,1,0,0,0,0
認め,0,0,28,0,19,0,0
認める,0,0,7,0,3,0,0
誓い,0,0,0,0,1,0,0
誓っ,0,0,1,0,1,0,0
誘い出さ,0,0,1,0,0,0,0
誘い出そう,0,0,0,0,1,0,0
誘う,0,0,3,0,0,0,0
誘き寄せ,0,0,0,0,1,0,0
誘っ,0,0,2,0,1,0,0
誘なっ,0,0,1,0,0,0,0
誘わ,0,0,0,0,3,0,0
語,2,0,5,0,2,0,0
語ら,0,0,8,0,4,0,0
語り,2,0,2,0,1,0,0
語り合っ,2,0,0,0,1,0,0
語る,0,0,10,0,3,0,0
誤っ,0,0,1,0,0,0,0
誤ら,0,0,0,0,1,0,0
説い,0,0,2,0,0,0,0
説き付け,0,0,3,0,0,0,0
説き伏せ,0,0,0,0,3,0,0
説き出し,0,0,1,0,0,0,0
説き落す,0,0,0,0,1,0,0
説く,0,0,0,0,1,0,0
読ま,0,0,2,0,6,0,0
読まし,0,0,0,0,1,0,0
